epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5015,2.49524,3.14778,2.80027,0.00259,0.77778,0.08836,0.02568,2.59799,4.00052,3.00877,4e-05,4e-05,4e-05
2,22.3611,2.46595,3.40035,2.88942,0.00333,1,0.32004,0.08726,2.5587,3.94859,2.79115,9.802e-05,9.802e-05,9.802e-05
3,34.7091,2.28078,2.84215,2.41657,0.00333,1,0.72204,0.21411,2.23902,3.64957,2.43356,0.000153664,0.000153664,0.000153664
4,46.8442,2.06148,2.74621,2.23524,0.00333,1,0.61702,0.25915,1.98215,3.69754,2.3067,0.000206932,0.000206932,0.000206932
5,58.8716,1.88369,2.525,2.05535,0.00333,1,0.38392,0.13214,1.97568,3.55083,2.11609,0.000257824,0.000257824,0.000257824
6,70.7845,1.82331,2.32473,1.9358,0.00333,1,0.24647,0.07323,2.16388,3.71379,2.17178,0.00030634,0.00030634,0.00030634
7,81.8827,1.97622,2.37874,1.90277,0.00333,1,0.39269,0.12868,2.05019,3.48759,2.19148,0.00035248,0.00035248,0.00035248
8,92.8345,1.80187,2.13793,1.72853,0.00333,1,0.69615,0.30609,1.83892,3.34554,2.04578,0.000396244,0.000396244,0.000396244
9,103.942,1.72292,2.21897,1.79116,0.00333,1,0.80993,0.3016,1.65751,3.1601,1.93877,0.000437632,0.000437632,0.000437632
10,115.083,1.71335,2.27126,1.74041,0.00333,1,0.74494,0.27693,1.74187,3.20097,1.93966,0.000476644,0.000476644,0.000476644
11,127.196,1.55583,2.17349,1.64687,0.00333,1,0.83825,0.28503,1.81358,3.24859,1.95906,0.00051328,0.00051328,0.00051328
12,140.385,1.55861,2.15382,1.65806,0.00333,1,0.83932,0.25055,1.99448,3.34809,2.09987,0.00054754,0.00054754,0.00054754
13,151.254,1.62539,2.02881,1.6971,0.00333,1,0.64581,0.20249,2.23252,3.21492,2.36336,0.000579424,0.000579424,0.000579424
14,162.36,1.55678,2.07845,1.67322,0.00333,1,0.69225,0.17409,2.3288,3.33311,2.6356,0.000608932,0.000608932,0.000608932
15,173.524,1.73156,2.17041,1.78034,0.00333,1,0.07317,0.0157,2.28315,3.92754,3.208,0.000636064,0.000636064,0.000636064
16,184.701,1.75138,2.06707,1.75238,0.08076,0.66667,0.22175,0.05918,2.26507,3.58865,2.82766,0.00066082,0.00066082,0.00066082
17,195.778,1.52875,1.8166,1.52001,0.80641,0.44444,0.63581,0.16445,2.29315,3.06722,2.66568,0.0006832,0.0006832,0.0006832
18,206.958,1.6341,2.18295,1.70922,0.51801,0.66667,0.69536,0.1601,2.35309,3.06603,2.84446,0.000703204,0.000703204,0.000703204
19,218.293,1.54714,1.98595,1.61793,0.2821,0.33333,0.19411,0.03924,2.68286,3.50296,4.19359,0.000720832,0.000720832,0.000720832
20,229.48,1.7052,1.94559,1.66999,0.10994,0.44444,0.09872,0.01606,2.73179,3.83097,4.31576,0.000736084,0.000736084,0.000736084
21,240.956,1.6668,1.98714,1.69784,0.14082,0.5833,0.13033,0.01992,2.98594,4.12711,5.03054,0.00074896,0.00074896,0.00074896
22,252.337,1.48631,1.80391,1.55376,0.19847,0.55556,0.15066,0.02801,2.98271,3.42774,4.95425,0.00075946,0.00075946,0.00075946
23,264.118,1.57119,2.01066,1.7243,0.33653,0.66667,0.37111,0.05278,3.18686,3.0383,5.53894,0.000767584,0.000767584,0.000767584
24,275.601,1.52151,1.7817,1.57527,0.46582,0.77778,0.38875,0.06416,3.17752,2.95102,4.44202,0.000773332,0.000773332,0.000773332
25,287.296,1.58631,1.82656,1.62756,0.47589,0.88889,0.44288,0.07558,3.06362,3.07539,3.9359,0.000776704,0.000776704,0.000776704
26,298.958,1.63458,1.90579,1.69131,0.82919,0.66667,0.69056,0.17473,2.69895,2.52001,3.01148,0.0007777,0.0007777,0.0007777
27,310.632,1.48374,1.81778,1.54232,0.83554,0.66667,0.69158,0.28444,2.36588,2.80451,2.49589,0.00077632,0.00077632,0.00077632
28,322.131,1.47319,1.80288,1.52819,0.24594,0.58073,0.26407,0.07485,2.64461,2.70623,2.80877,0.000772564,0.000772564,0.000772564
29,333.83,1.53695,1.86373,1.5853,0.24594,0.58073,0.26407,0.07485,2.64461,2.70623,2.80877,0.000766432,0.000766432,0.000766432
30,345.78,1.58995,1.75437,1.63139,0.55772,0.55556,0.63768,0.11896,2.31659,2.77121,2.57056,0.000757924,0.000757924,0.000757924
31,357.843,1.46113,1.91379,1.58228,0.36879,0.77778,0.46493,0.12056,2.25998,2.77303,2.47693,0.00074704,0.00074704,0.00074704
32,369.97,1.46702,1.74593,1.5723,0.36661,0.33333,0.48346,0.0986,2.28736,3.00971,2.59471,0.00073378,0.00073378,0.00073378
33,382.469,1.46537,1.64313,1.48849,0.36661,0.33333,0.48346,0.0986,2.28736,3.00971,2.59471,0.000718144,0.000718144,0.000718144
34,395.528,1.45226,1.6934,1.54551,0.57771,0.66667,0.57711,0.12273,2.39127,2.90742,2.88534,0.0006932,0.0006932,0.0006932
